month,total,type
January,9088,Complaint
January,84,Compliment
January,4,CORA
January,1688,Request
January,1232,Service
January,77,Suggestion
February,7563,Complaint
February,76,Compliment
February,1,CORA
February,1468,Request
February,1515,Service
February,50,Suggestion
March,7626,Complaint
March,80,Compliment
March,2,CORA
March,1552,Request
March,1879,Service
March,75,Suggestion
April,8229,Complaint
April,130,Compliment
April,1,CORA
April,1657,Request
April,1641,Service
April,97,Suggestion
May,9651,Complaint
May,86,Compliment
May,2,CORA
May,1560,Request
May,1679,Service
May,52,Suggestion
